1000 3
4396 -1865 -2435 
5844 -7644 -4113 
-6338 6235 -5818 
-568 217 9222 
-9226 7437 -2523 
-8072 -5866 6396 
-6571 6780 3255 
3651 9778 -716 
4205 -9933 -1256 
-4354 -6103 -3774 
-8083 -376 -3036 
6040 1902 -8686 
-6582 -2364 -675 
3482 -7378 -5828 
1353 -681 8516 
-238 -2578 1575 
-6241 -8667 -8775 
-5949 3994 8041 
2175 -4809 9294 
-1510 -326 5155 
5781 9412 -209 
-9217 -6148 3641 
8971 7523 5006 
-1768 9544 -6849 
-4737 -3568 -7657 
-2180 -2583 -8425 
-9414 1499 -4670 
9954 -7367 6630 
-5180 -6273 829 
3318 9335 3092 
9602 -9512 2816 
4405 324 -2310 
-9784 3804 8983 
9660 1581 3958 
2346 -2387 4612 
-2789 -1018 9520 
5104 -8404 30 
574 1114 -5657 
232 1151 -1165 
8939 -3358 3396 
3975 9898 -8940 
3509 -1004 -4139 
-2181 -2644 -6324 
-4373 4203 -6332 
-1139 2831 1224 
297 2889 8438 
-1863 1531 -8568 
-3953 7029 -5462 
-3267 -3784 -3 
-3234 -9115 -3959 
-2930 869 -1597 
3394 -2834 7082 
250 9238 -5138 
4883 8496 -8605 
-7129 6227 5375 
-8363 7412 -6432 
-2371 5898 -5593 
-1606 8368 -6851 
9651 -6106 6033 
-4550 -5165 -7344 
7533 -7617 -8772 
2482 1116 7263 
-1493 8740 -8218 
-5852 8345 2453 
4524 -3084 -5073 
-6242 9183 1960 
6512 -9839 -1326 
-2646 865 -8200 
-2239 9307 -1600 
-5845 -7951 -3722 
304 4790 -987 
-6776 4366 -4913 
78 -9712 -9438 
2604 -3992 -8271 
2766 2577 905 
3733 5208 -1147 
-5322 -7074 -4994 
2278 -9451 7892 
-1749 5215 5520 
-939 -7524 -2098 
3389 -6889 9743 
6523 -8108 -6076 
-6128 3227 3335 
6252 -2653 6475 
-908 7055 7072 
-8756 8150 -4230 
7140 -7163 5750 
-1516 212 8759 
-2909 9357 -4376 
4337 3295 3974 
-4158 1451 1203 
6533 2305 9795 
9280 9317 -8867 
8796 -9533 6060 
5469 2498 -6414 
-1075 -4113 -3698 
3988 1919 -4286 
8447 -5234 -7890 
2105 -2759 -7993 
1684 2802 -7089 
3455 6239 4411 
188 6785 -5635 
6359 4966 -5767 
1506 354 -3131 
1672 5379 -6749 
-3085 -5355 7142 
-4559 8271 9682 
3127 -6151 -3815 
3455 5555 7105 
900 8771 2820 
3517 -8017 -6860 
5227 -7140 -7777 
-1388 -7534 -4735 
-9889 4425 4974 
-8721 -5283 -8174 
-5594 57 8502 
-9247 -1743 8729 
5085 -9762 -4469 
393 -4782 -20 
-3373 4911 8880 
-7436 1102 953 
6175 -783 9465 
4805 -9423 1298 
6906 -6561 4499 
-4170 -3075 8368 
7732 -2092 3433 
-3587 -1265 9180 
-8446 -458 9250 
5991 -3220 -454 
-5601 -7416 4053 
4625 2794 8647 
-715 -8800 -517 
-6843 -5929 -7145 
-2757 -7406 2930 
-3954 5093 8239 
-9447 1520 8061 
2411 -2700 -4130 
-2297 1071 -2844 
1418 -8679 942 
-3455 8316 -2930 
-2377 276 1060 
-9203 -1731 341 
-4879 -333 4355 
-6915 991 7517 
-5467 -6482 3279 
6405 7557 -1483 
-7284 -3101 -3894 
1121 3406 -8531 
6678 379 2322 
6025 9816 5399 
7225 6749 -9106 
-6124 6514 6616 
8807 -4153 -6575 
-4507 -8784 -6009 
9383 -6945 3406 
-3577 4526 9579 
2272 5029 9828 
-8660 4686 3738 
1691 620 -2687 
540 5779 -6812 
-4213 2071 6916 
-6916 -9962 3710 
830 -1016 -929 
9870 3447 -4171 
-1512 8787 1140 
7306 9210 3120 
-3985 -1911 -3886 
4629 -3527 2109 
-1527 -3891 -8825 
-7193 -6152 8464 
4762 7255 3143 
-9975 4247 3114 
-3627 6518 4157 
4475 -844 -9015 
-1635 -4671 6479 
-2004 9533 9906 
-8172 -4932 9180 
-901 -8550 -4883 
-2937 4283 -8161 
-5515 750 2637 
-4768 -4863 -6978 
-6627 8664 3992 
-4284 9052 8538 
-6236 -7232 8311 
-6351 -6737 4785 
2762 2177 275 
1062 -7561 -9245 
742 878 -9513 
3439 7389 3922 
-8837 -1643 -1634 
-2313 -9214 7362 
-6124 9608 -7644 
-1360 -2329 9008 
-4796 -9088 3148 
-2403 -3773 -171 
8214 -2235 3287 
5264 -7156 -3067 
8334 -1073 -3485 
1597 -5213 -9225 
-7986 775 -9497 
-670 -7815 -8846 
-9331 3793 -2070 
4154 -736 -4080 
9213 5807 8974 
1930 297 2128 
-759 1577 -7830 
-2455 -3210 -3721 
6184 -1989 -3941 
-8386 -4677 -5408 
6190 4756 -8219 
9480 9089 -5208 
8114 -4618 4505 
7135 618 901 
-9716 1033 -1984 
-369 -73 -7242 
7447 9762 -7804 
6631 -7540 -4949 
-8041 7306 -6013 
-80 -1367 6715 
-2887 9944 -7154 
4903 -528 3463 
4720 2310 -5454 
-3006 -4438 1667 
-1314 -6648 -6060 
7853 6221 8869 
-5483 -6546 5549 
-6712 3279 700 
-6533 667 8280 
-6182 6703 -4081 
6799 -8037 328 
-7881 3760 -649 
6395 -8460 -18 
461 -808 3913 
5700 2098 4536 
2823 8248 -9655 
-2666 -5506 2493 
-6622 -5608 -176 
-1618 7786 -7942 
8038 -5885 1251 
-860 -862 -6979 
1520 -2629 1045 
4708 -730 -3155 
-307 498 7819 
-8259 -945 -7082 
9971 -1873 -16 
-8892 2984 -3382 
1874 -3779 4217 
-97 4653 6336 
-4526 -4453 -5578 
-8746 4566 8301 
8099 6897 8175 
-1 -3634 -6010 
3982 -5835 9644 
2953 -9693 699 
4850 -2731 -3751 
3358 9207 4858 
-4695 -8300 -2310 
-7923 6941 -8712 
4740 -2711 -8399 
6389 1240 5722 
-8594 -8623 729 
6429 -5883 838 
868 6376 -3791 
-4619 -5787 9137 
6407 -186 -5556 
-2457 -2566 2448 
5608 -6446 2995 
-9963 -461 8585 
2827 3384 -2356 
-6063 8110 4506 
-4855 442 -9187 
-9094 -889 -505 
3620 1717 -9143 
4732 -8476 -6589 
-4156 5669 -2780 
-2319 1519 -4389 
2566 -716 2206 
1739 1960 -1417 
2374 1129 -7661 
5282 -9945 -6249 
9205 1456 760 
-1048 -7242 -5098 
9769 -6840 2534 
2173 -9804 8158 
3965 -8000 -983 
9462 -1302 -978 
9267 2680 -5365 
-5156 -2991 -4005 
-7016 7447 8983 
629 3040 6007 
8880 3095 8121 
6546 8945 -4651 
1990 5216 3721 
6635 1943 541 
-2462 -4620 5454 
9700 5681 -1048 
2614 1574 -5529 
8417 3405 3178 
-3459 8974 8986 
-2512 -1884 809 
-7828 -1012 8079 
2316 -950 5697 
-7032 4401 8576 
-4146 -7495 9900 
-5175 5035 9786 
-5473 -5890 6258 
-7696 7926 8584 
765 4236 3583 
8049 -6476 7048 
-7153 -1445 -9201 
9006 -3664 -7682 
7926 3094 7181 
-2630 8036 -4450 
-3621 6743 -9504 
-9665 -5437 3605 
-9530 8101 388 
-6599 -7439 5416 
-7835 -4858 -318 
-3991 -3148 -7956 
5224 -6351 9451 
5235 -5849 -2257 
9837 -9705 -3333 
-251 3130 4465 
-1892 -7262 -6946 
-8565 -1774 3014 
5864 5382 -7027 
-4354 -1536 8163 
-7792 4334 2988 
-1784 4791 -4492 
-6531 9869 -7690 
9343 -1295 -2912 
9833 905 5272 
-2064 -5210 -3916 
8206 -9112 -5685 
9427 5935 -8086 
7016 -4180 3613 
4413 8691 1323 
1015 -1839 -4961 
-7328 -4867 4832 
9238 -5048 3228 
-5630 2310 -4423 
320 -5061 -4329 
2980 -5567 1101 
3897 2830 2977 
9743 -7041 -3842 
3325 -5527 2295 
9688 -1011 -2610 
-1318 1961 -7874 
9377 -8653 2425 
-3104 -7175 7237 
-6600 2768 1995 
739 -8010 -9652 
8910 8444 7344 
-3191 4406 573 
-3314 274 -6915 
1338 -1739 3369 
-5679 8358 5449 
-8143 3556 -5370 
-3320 9359 -1776 
1422 -8665 -4906 
4000 -7909 -2587 
2767 -8503 -7276 
-4851 -7885 1244 
3743 8617 131 
706 2139 5530 
-1578 -3734 2356 
-2928 3783 4398 
930 1890 -8358 
-7949 8213 -1526 
9192 -7453 -6604 
6466 145 9598 
4434 -8769 -2148 
7230 838 5792 
8616 3913 -36 
1054 6238 -3410 
4828 4035 7865 
77 -1123 -7774 
-1291 7083 -7160 
-4354 4110 4291 
-8016 -4345 -5653 
6103 6676 -9667 
-6660 2487 -1058 
3228 -8483 1545 
-5847 -9708 5353 
-2949 2383 3121 
8252 -6818 -9555 
8622 5840 2099 
4335 4124 -6009 
4084 295 -1560 
-7450 -6552 8804 
-4231 1566 -882 
5650 746 9552 
-5090 -7172 1803 
1724 1006 -8107 
-2265 2004 -8240 
-12 -8954 -6735 
-7277 -6784 4105 
-1387 3065 2942 
3555 -2521 -769 
-5169 3721 7174 
-9411 -7407 2375 
1959 2412 5045 
-4488 6909 2559 
9883 3852 7129 
-3350 7332 -9278 
5240 6648 -1216 
5691 -1023 9112 
130 9215 58 
2072 1163 -7458 
635 -5472 6606 
-8161 -9680 9554 
-1488 -979 1312 
-3815 9301 1472 
-5820 -3486 -4377 
4454 -2659 -6362 
2193 4342 6679 
7153 7423 -2906 
-6576 -5860 7331 
190 -9025 4971 
-6066 905 1183 
-4915 -9711 -7995 
-8955 -2159 -2967 
1588 -4606 4489 
-5553 983 1007 
-2839 -6452 -5192 
8065 -7144 6907 
-6020 7668 9560 
779 7384 639 
7823 -4925 4083 
-1257 -643 5364 
1041 409 -5425 
-7882 6853 -4788 
2693 -2365 -3414 
2025 -4170 8867 
-7715 7097 7791 
-2232 2603 6465 
-8058 -4637 3082 
7882 -5564 -8593 
-9521 -4844 88 
-4900 -1576 4788 
6346 -3624 -4570 
-5816 -7830 -9372 
-5652 -8819 6807 
-5013 -7183 8174 
2383 -4988 -6654 
8942 -3539 -9376 
-3807 880 -5217 
-4200 -8592 -2245 
3893 -6264 -2973 
-6768 9918 9930 
-481 4732 -3680 
-4519 5841 -9918 
2675 -9575 -6866 
-6611 -5753 -4160 
-3109 -3227 6873 
-3881 -2033 -6746 
74 5215 1873 
9295 -3684 2115 
7489 -6152 1122 
-9929 5680 -130 
6026 5636 977 
-7712 -7478 -430 
4500 -5905 6400 
4990 5935 -9694 
-1609 -6584 -6484 
7494 -7739 8113 
